BIO-FILM ID,ANTI-BIO-FILM AGENT,MOLECULAR FORMULA,AGENT TYPE,TARGET ORGANISM,STRAIN,INHIBITION,STAGE QUENCHED,GROWTH MEDIA,REFERENCE ID
Anti-Biofilm_0360,Phenanthrene,C14H10,Phytochemical,Escherichia coli,ATCC 10536,75 %,Formation,Luria-Bertani (LB) Broth,25656290
Anti-Biofilm_0365,Undecanoic acid,C11H22O2,Phytochemical,Escherichia coli,ATCC 10536,0 %,Formation,Luria-Bertani (LB) Broth,25656290
Anti-Biofilm_0370,Myristic acid,C14H28O2,Chemical,Escherichia coli,ATCC 10536,0 %,Formation,Luria-Bertani (LB) Broth,25656290
Anti-Biofilm_0408,Curcumin,C21H20O6,Phytochemical,Escherichia coli,ATCC 10536,52 %,Formation,Luria-Bertani (LB) media,24262582
Anti-Biofilm_1085,Subtilosin,C152H226N38O45S3,Peptide,Escherichia coli,O157:H7,65 %,Integrity,Luria-Bertani (LB) Broth,27914001
Anti-Biofilm_1088,(5Z)-4-Bromo-5-(bromomethylene)-3-butyl-2(5H)-furanone,C9H10Br2O2,Algal extract,Escherichia coli,K12,50.7 %,Formation,Luria-Bertani (LB) media + 0.2% glucose,15470704
Anti-Biofilm_1112,Indole,C8H7N,Chemical,Escherichia coli,BW25113,91.67 %,Formation,Luria-Bertani (LB) media,18528414
Anti-Biofilm_1290,Naringenin,C15H12O5,Phytochemical,Escherichia coli,O157:H7,97 %,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489
Anti-Biofilm_1292,Naringin,C27H32O14,Phytochemical,Escherichia coli,O157:H7,50 %,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489
Anti-Biofilm_1294,Neoeriocitrin,C27H32O15,Phytochemical,Escherichia coli,O157:H7,40 %,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489
Anti-Biofilm_1296,Neohesperidin,C28H34O15,Phytochemical,Escherichia coli,O157:H7,40 %,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489
Anti-Biofilm_1298,Hesperidin,C28H34O15,Phytochemical,Escherichia coli,O157:H7,2 %,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489
Anti-Biofilm_1300,Quercetin,C15H10O7,Phytochemical,Escherichia coli,O157:H7,72 %,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489
Anti-Biofilm_1302,Rutin,C27H30O16,Phytochemical,Escherichia coli,O157:H7,38 %,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489
Anti-Biofilm_1304,Kaempferol,C15H10O6,Phytochemical,Escherichia coli,O157:H7,52 %,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489
Anti-Biofilm_2995,Apigenin,C15H10O5,Phytochemical,Escherichia coli,O157:H7 (ATCC 43895),77.87 %,Formation,Luria-Bertani (LB) Broth,21930760
Anti-Biofilm_1830,Sinensetin,C20H20O7,Phytochemical,Escherichia coli,O157:H7 (ATCC 43895),76 %,Formation,Luria-Bertani (LB) media,23891936
Anti-Biofilm_1492,Norspermidine,C6H17N3,Chemical,Escherichia coli,ATCC PTA 1798,75 %,Formation,Luria-Bertani (LB) Broth,26350146
Anti-Biofilm_1644,Resveratrol,C14H12O3,Phytochemical,Escherichia coli,O157:H7 (ATCC 43895),94 %,Formation,Luria-Bertani (LB) Broth,24067082
Anti-Biofilm_1645,Tannic acid,C76H52O46,Phytochemical,Escherichia coli,O157:H7 (ATCC 43895),92 %,Formation,Luria-Bertani (LB) Broth,24067082
Anti-Biofilm_1646,4-Hydroxy benzoate,C7H5O3,Phytochemical,Escherichia coli,O157:H7 (ATCC 43895),31 %,Formation,Luria-Bertani (LB) Broth,24067082
Anti-Biofilm_1647,Betulinic acid,C30H48O3,Phytochemical,Escherichia coli,O157:H7 (ATCC 43895),10 %,Formation,Luria-Bertani (LB) Broth,24067082
Anti-Biofilm_1648,Caffeic Acid,C9H8O4,Phytochemical,Escherichia coli,O157:H7 (ATCC 43895),3.44 %,Formation,Luria-Bertani (LB) Broth,24067082
